"id","length","width","species"
198,23.1,16.4,"Pied Wagtail"
199,23.5,16.8,"Pied Wagtail"
200,24.1,17.1,"Pied Wagtail"
201,23.4,16.4,"Pied Wagtail"
202,23.2,16.8,"Pied Wagtail"
203,22.5,16.6,"Pied Wagtail"
204,21.9,16.1,"Pied Wagtail"
205,21.9,16.1,"Pied Wagtail"
206,25,16.9,"Pied Wagtail"
207,24.1,15.9,"Pied Wagtail"
208,22.2,16.3,"Pied Wagtail"
209,21.1,17.2,"Pied Wagtail"
210,22.7,16.1,"Pied Wagtail"
211,22,17,"Pied Wagtail"
212,24.1,17.3,"Pied Wagtail"
224,19.8,15,"Reed-wren"
225,22.1,16,"Reed-wren"
226,21.5,16.2,"Reed-wren"
227,20.9,15.7,"Reed-wren"
228,22,16.2,"Reed-wren"
229,21,15.5,"Reed-wren"
230,22.3,16,"Reed-wren"
231,21,15.9,"Reed-wren"
232,20.3,15.5,"Reed-wren"
233,20.9,15.9,"Reed-wren"
234,22,16,"Reed-wren"
235,20,15.7,"Reed-wren"
236,20.8,15.9,"Reed-wren"
237,21.2,16,"Reed-wren"
238,21,16,"Reed-wren"
